Date,New,Cases,Deceased,Deaths,
3/11/20,2,2,0,0,
3/12/20,0,2,0,0,
3/13/20,1,3,0,0,
3/14/20,1,4,0,0,
3/15/20,0,4,0,0,
3/16/20,0,4,0,0,
3/17/20,1,5,0,0,
3/18/20,4,9,0,0,
3/19/20,1,10,0,0,
3/20/20,3,13,0,0,
3/21/20,7,20,0,0,
3/22/20,0,20,0,0,
3/23/20,19,39,1,1,
3/24/20,5,44,0,1,
3/25/20,9,53,0,1,
3/26/20,13,66,1,2,
3/27/20,6,72,0,2,
3/28/20,28,100,0,2,
3/29/20,47,147,1,3,
3/30/20,14,161,0,3,
3/31/20,41,202,0,3,
4/1/20,22,224,3,6,
4/2/20,16,240,0,6,
4/3/20,0,240,0,6,
4/4/20,49,289,1,7,
4/5/20,74,363,5,12,
4/6/20,0,363,0,12,
4/7/20,37,400,5,17,
4/8/20,33,433,1,18,
4/9/20,14,447,1,19,
4/10/20,64,511,1,20,
4/11/20,24,535,1,21,
4/12/20,0,535,0,21,
4/13/20,79,614,4,25,
4/14/20,21,635,4,29,
4/15/20,39,674,0,29,
4/16/20,33,707,0,29,
4/17/20,43,750,5,34,
4/18/20,54,804,2,36,
4/19/20,31,835,0,36,
4/20/20,33,868,2,38,
4/21/20,18,886,0,38,
4/22/20,0,886,0,38,
4/23/20,66,952,4,42,
4/24/20,40,992,1,43,
4/25/20,74,1066,1,44,
4/26/20,19,1085,1,45,
4/27/20,13,1098,1,45,
4/28/20,38,1136,3,48,
4/29/20,62,1197,0,48,
4/30/20,40,1237,0,48,
5/1/20,56,1293,0,48,
5/2/20,58,1351,0,48,
5/3/20,60,1411,0,48,
5/4/20,28,1440,1,49,
5/5/20,66,1506,3,52,
5/6/20,91,1597,0,52,
5/7/20,61,1658,5,57,
5/8/20,81,1739,0,57,
5/9/20,88,1827,3,60,
5/10/20,92,1919,2,62,
5/11/20,47,1966,1,63,
5/12/20,59,2025,4,67,
5/13/20,96,2121,2,69,
5/14/20,65,2186,4,73,
5/15/20,122,2308,3,76,
5/16/20,41,2349,0,76,
5/17/20,94,2443,0,76,
5/18/20,74,2517,1,77,
5/19/20,81,2598,2,79,
5/20/20,39,2637,0,79,
5/21/20,47,2684,0,79,
5/22/20,91,2775,2,81,
5/23/20,83,2858,0,81,
5/24/20,107,2965,3,84,
5/25/20,101,3066,3,87,
5/26/20,57,3123,0,87,
5/27/20,129,3252,0,87,
5/28/20,128,3380,0,87,
5/29/20,122,3502,2,89,
5/30/20,113,3615,0,89,
5/31/20,96,3711,0,89,
6/1/20,180,3891,1,90,
6/2/20,166,4057,1,91,
6/3/20,46,4103,0,91,
6/4/20,131,4234,0,92,
6/5/20,158,4392,2,94,
6/6/20,147,4539,1,95,
6/7/20,175,4714,1,96,
6/8/20,215,4929,0,96,
6/9/20,80,5009,3,99,
6/10/20,83,5092,4,103,
6/11/20,167,5259,0,103,
6/12/20,112,5371,0,103,
6/13/20,133,5504,7,110,
6/14/20,107,5611,0,110,
6/15/20,116,5727,1,111,
6/16/20,103,5830,2,113,
6/17/20,109,5939,0,113,
6/18/20,123,6062,3,116,
6/19/20,208,6270,2,118,
6/20/20,89,6359,0,118,
6/21/20,117,6476,6,124,
6/22/20,120,6596,3,127,
6/23/20,72,6668,3,130,
6/24/20,68,6736,2,132,
6/25/20,204,6940,0,132,
6/26/20,100,7040,2,134,
6/27/20,130,7170,2,136,
6/28/20,71,7241,0,136,
6/29/20,75,7316,2,138,
6/30/20,69,7385,1,139,
7/1/20,91,7476,1,140,
7/2/20,80,7556,1,141,
7/3/20,111,7667,0,141,
7/4/20,75,7742,1,142,
7/5/20,113,7855,4,146,
7/6/20,80,7935,4,150,
7/7/20,83,8018,4,154,
7/8/20,120,8138,5,159,
7/9/20,104,8242,4,163,
7/10/20,102,8344,5,168,
7/11/20,0,8344,0,168,
7/12/20,234,8578,3,171,
7/13/20,98,8676,3,174,
7/14/20,87,8763,0,174,
7/15/20,68,8831,2,176,
7/16/20,371,9202,3,179,
7/17/20,73,9275,0,179,
7/18/20,156,9431,0,179,
7/19/20,114,9545,0,179,
7/20/20,65,9610,0,179,
7/21/20,83,9693,1,180,
7/22/20,62,9755,2,182,
7/23/20,100,9855,1,183,
7/24/20,90,9945,1,184,
7/25/20,126,10071,7,191,
7/26/20,43,10114,0,191,
7/27/20,81,10195,0,191,
7/28/20,60,10255,2,193,
7/29/20,70,10325,1,194,
7/30/20,43,10368,2,196,
7/31/20,68,10436,0,196,
8/1/20,67,10503,0,196,
8/2/20,41,10544,0,196,
8/3/20,42,10586,0,196,
8/4/20,72,10658,6,202,
8/5/20,29,10687,0,202,
8/6/20,55,10742,1,203,
8/7/20,32,10774,1,204,
8/8/20,78,10852,0,204,
8/9/20,70,10922,1,205,
8/10/20,19,10941,0,205,
8/11/20,41,10982,0,205,
8/12/20,40,11022,4,209,
8/13/20,90,11112,2,211,
8/14/20,47,11159,0,211,
8/15/20,54,11213,2,213,
8/16/20,26,11239,0,213,
8/17/20,27,11266,0,213,
,,,,,